trx_amt,user_total_txns_3d,user_total_amount_3d,user_avg_amount_3d,user_median_amount_3d,user_max_amount_3d,user_min_amount_3d,user_unique_recipients_3d,user_unique_channels_3d,user_unique_types_3d,user_total_txns_7d,user_total_amount_7d,user_avg_amount_7d,user_median_amount_7d,user_max_amount_7d,user_min_amount_7d,user_unique_recipients_7d,user_unique_channels_7d,user_unique_types_7d,user_channel_diversity_score_7d,user_type_diversity_score_7d,user_night_txns_7d,user_weekend_txns_7d,user_peak_hour_txns_7d,user_off_peak_hour_txns_7d,user_avg_start_balance_7d,user_avg_end_balance_7d,user_min_balance_7d,user_max_balance_7d,user_balance_volatility_7d,user_avg_amount_per_recipient_7d,user_max_amount_to_single_recipient_7d,user_recipient_concentration_ratio_7d,user_avg_time_between_txns_7d,user_txn_frequency_score_7d,user_days_since_last_txn,actual_label
-0.015860271629503587,-0.00153051513294848,-0.00043658721326416864,0.0,0.0,0.0,0.0,0.0,0.0004183467844527251,0.0,-0.0011734818237294404,0.0,0.002884592583989974,0.0,0.0,0.0,0.0,-0.004028670640429261,-0.0011084742370963466,0.0,0.0024747693254879547,0.0,0.0,0.0,0.0,-0.000398950915350968,0.0,0.0,-0.000771977718548353,-0.00201279705545288,0.0,-0.0031517808483178806,0.002350544176031691,-0.0051188773392847435,0.002503093453498792,0.0,0
-0.009814722351471345,0.0,0.0,0.0,0.0,-0.0006659742688329345,-0.0019223195647671406,-0.0010356857077454126,-0.0010791092351490185,0.0,0.0,0.002016783630519234,0.0,-0.0033501152058787917,-0.0013396535422773822,-0.002655281225695165,-0.0016247864308371295,-0.009312230170426818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00342430092068779,0.0,0.0,-0.002113640019446181,0.005147618468036175,0.0,0
-0.010011047125784297,0.00019533475524981613,-0.0009650215469286574,0.0009761151031151055,0.0,-0.0020694891174826953,0.0023261909668633777,0.0,-0.002562225472976315,0.0008386138480325242,-0.002676820994145545,-0.0023913455640452133,-0.0007288225342067874,0.0,0.0,-0.0022047726364674393,0.0017444823231645588,0.0,0.0,0.005738850882883509,-0.0002365917258605103,0.0008458221624750298,-0.0024422232303687582,-0.0016998137011275624,-0.0027347441168089617,0.0015996846642337087,-0.0015483856520980455,0.00034792330532233966,0.0005994977004070987,-0.002286534670782041,0.0,-0.001997103762454109,0.0,-0.003612947915924543,0.0,0.0,0
0.0,0.006121315446519224,0.0,0.0,0.0,0.00909648006618052,0.0054801361917465805,0.0,0.0,0.0,0.003402676373946256,0.0,0.0,0.002549519030438082,0.0,0.0,0.0,0.005606895662041681,0.0,0.0,0.006365310349270971,0.0,0.0,0.0,0.009048499445505455,0.0,0.005273704658851909,0.0,0.011898732095753862,0.0,0.0,-0.013598971032500752,-0.07050120632412699,0.005020518246228898,0.002800768574213802,0.0,0
-0.0017649597919572179,-0.002586459963944571,-0.002709662951723575,-0.0009278144060501305,0.0,0.005467446128107567,4.186761403614728e-06,0.0,0.0,-0.0017212225236754844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025474744170910953,-0.0012291664030741904,-0.0041005554161861945,-0.0004969204547812493,-0.002826449547961905,0.0,-0.0016155135389728408,0.0,-0.00025718925559245563,0.0,0.0,0.0,0.0,-0.0030216641618435835,0.0,0.0,-0.004043697655132408,-0.0005814291185474683,0.0,0
-0.006309995423070115,0.0,-0.003308299260291815,0.0018452048256314682,0.0015339512828627818,-0.0006451307487176844,0.0,0.0,-0.0020803645362359544,0.00502420809014894,-0.004321667308110887,0.0,0.0,0.0046821941011636475,0.006423196030508697,-0.001134167431072926,-0.0032120343719599046,-0.0020617061231930638,-0.003086593962981027,-0.0031849889816213408,-0.00044261797028006286,0.0,-0.0031364995924783767,-0.0027316361868697297,-0.003896365370988295,-0.004459090516445324,0.003965337106366063,0.003461736966633754,0.001153793282311125,0.0,0.0,0.0,0.0,-0.0035845152264246346,-0.005452495391908521,0.0,0
0.00013093329682729057,0.0,-0.004107859217328106,0.0,0.0,-0.001338269923180861,0.0,-0.0017151313200645885,-0.0032111049129815287,0.0,0.0,0.0,-0.00011191492057663906,-0.0008520511955716759,0.0,0.0,-0.002502388912106655,0.0,-8.131178863700219e-05,-0.00264691824842143,-0.004295422166926084,-0.0060646330431163515,0.0,-0.002601444892055276,0.0,0.0,0.0,0.0,0.005129592361552503,0.0,0.0,-0.0014428757793568724,0.00281934702693814,0.0,-0.0020670930820180476,0.0,0
-0.0032889433164447488,0.0,0.0,0.0,0.0,-0.00011762075435738664,0.0,0.0,-0.0030190234806517792,0.0,0.0,0.0,0.0,0.0,-0.0015568992682978308,-0.001126335404856047,-0.004710578219969065,-0.000271628374067302,-0.0021036230819094785,0.0,-0.0039069684238322066,0.0,0.0,0.0,-0.0019200133217814699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002936913070855869,0.0,0.0,0
0.0,0.0,-0.0017969371272738527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020470926300275487,0.0,0.0,-0.0025103269156709655,0.0035880805364399515,-0.0026326699305326134,-0.0020446380946995244,-0.0011541762840717202,-0.0015378354931239566,-0.0013568041061951944,-0.004260621370279034,0.0,-0.003894752409749215,0.0,-0.00021591288169976698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024760497704662265,-0.0024679001794173823,0.0,0
-0.006539011591360386,0.0,-0.0015099059485127815,0.0031323152963774648,-0.0017423647319501341,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034362868153794764,0.0,0.004163456695961731,0.0,0.0025431233481102576,-0.0014912608603858586,-0.002387185667532951,-0.0007741271283838865,-0.005847255963595321,0.0,-0.0006175451313323382,0.0,-0.002159002165105159,-0.0019416534125376718,0.0,0.0,0.0,0.0,-0.003272055781678557,0.0,0.00010009907106819376,0.0,-0.004982619769447952,0.001884244221758983,0.0,0
