feature,feature_name,mean_abs_shap,mean_shap,std_shap,min_shap,max_shap
trx_amt,Transaction Amount (PKR),0.00848399938381986,-0.003629157925193673,0.015024536809083786,-0.11332265063663072,0.1125668327629452
user_txn_frequency_score_7d,User Transaction Frequency Score,0.005376515138509919,-0.0019739302106058145,0.013617244695655081,-0.11973006092021804,0.19674150326956885
user_avg_time_between_txns_7d,User Avg Time Between Transactions,0.004763614875848341,-0.003128169494502629,0.00973549382079966,-0.15275208575520824,0.053730986063359965
user_channel_diversity_score_7d,User Channel Diversity Score,0.004592029017157264,-0.0015226359135076686,0.011750848347243758,-0.02029538002704227,0.16729518159204046
user_unique_channels_7d,User Unique Channels (7 Days),0.004318409164875571,-0.0009325796095924704,0.008683066496414765,-0.020315110077568296,0.10868232272670761
user_type_diversity_score_7d,User Transaction Type Diversity,0.004129033218533312,-0.001682613409710418,0.0077995987526062885,-0.01729112789496087,0.07399724888815072
user_recipient_concentration_ratio_7d,User Recipient Concentration,0.0036568159648095624,-0.00040229324716189503,0.01307322663335807,-0.19019272216219482,0.1526165330884422
user_off_peak_hour_txns_7d,User Off-Peak Transactions (7 Days),0.003244350347346091,-0.0005855074788388784,0.011560456745107622,-0.1250678178773434,0.18684767299785757
user_peak_hour_txns_7d,User Peak Hour Transactions (7 Days),0.002605738154071057,-0.0012598899208013047,0.004791524423766243,-0.02092194182735113,0.05004915224233429
user_avg_end_balance_7d,User Average Ending Balance,0.0021398504225598725,-0.00011925949031562335,0.005495716013926308,-0.033246837335934094,0.04891252491895972
user_unique_recipients_7d,User Unique Recipients (7 Days),0.0020809492411704884,-0.00021549261999698357,0.004666990558400782,-0.010698658275274261,0.050954693912014494
user_total_amount_3d,User Total Amount (3 Days),0.002064044438690918,-0.00025137114529598706,0.006160768081795606,-0.1042945105084962,0.03173378268281955
user_balance_volatility_7d,User Balance Volatility,0.002051834968331018,0.00016887602919682826,0.006563081773211989,-0.05111047045549151,0.10038765161947934
user_total_txns_3d,User Total Transactions (3 Days),0.00201466129636036,-0.0006250697447048509,0.008061921560207515,-0.162962693021684,0.038810019044772014
user_min_amount_7d,User Minimum Amount (7 Days),0.0019859959250342193,-0.0001607592274592972,0.005453274707843435,-0.07647340153436305,0.04662553464420478
user_weekend_txns_7d,User Weekend Transactions (7 Days),0.0019474079510767846,-9.741474611870027e-05,0.0040380309964982534,-0.023654059498644357,0.030299222140322032
user_total_txns_7d,User Total Transactions (7 Days),0.0018758310639309067,0.00019707648747589577,0.007365078653994948,-0.11845034807279804,0.058035760442238765
user_median_amount_7d,User Median Amount (7 Days),0.0018018167488915396,-0.00037399652722674385,0.004472914052103742,-0.034818978935985526,0.05058151445396144
user_avg_amount_3d,User Average Amount (3 Days),0.0017918753389508698,5.734739803370245e-05,0.008714290059717857,-0.17772892113302835,0.04219093094971405
user_max_amount_7d,User Maximum Amount (7 Days),0.001790013198581011,0.00014998256497765404,0.004406810350049842,-0.014182772085849534,0.0450902150854688
user_total_amount_7d,User Total Amount (7 Days),0.0017700499095567343,-0.00029533993472211594,0.005841815656846425,-0.09298611962805195,0.018978142066307886
user_median_amount_3d,User Median Amount (3 Days),0.0017668180545460429,2.112088555015979e-06,0.0050528881384064375,-0.06620750656820208,0.026955033711887733
user_avg_amount_per_recipient_7d,User Avg Amount per Recipient,0.0016903855264163144,0.0004756839011684336,0.0060281228191717915,-0.017722518349835827,0.10183857423352322
user_night_txns_7d,User Night Transactions (7 Days),0.0016860833017032916,-0.00013877757630054993,0.0037319873275888007,-0.010045639511318328,0.040836218086783574
user_unique_recipients_3d,User Unique Recipients (3 Days),0.001669103959549178,-0.0005241740541482725,0.0037197446907685215,-0.03989742979961866,0.014521882480980533
user_unique_types_3d,User Unique Types (3 Days),0.0016602136924765002,0.00015718626255883884,0.005287425103489943,-0.080005227069338,0.034358913303859984
user_min_amount_3d,User Minimum Amount (3 Days),0.00165351851405987,2.948210421406109e-05,0.004135780429868708,-0.06160177049276734,0.026144895699651394
user_max_amount_3d,User Maximum Amount (3 Days),0.0015753506353348894,0.00019012123752377074,0.0037536094471585417,-0.0156047713303222,0.04106791688947242
user_max_amount_to_single_recipient_7d,User Max Amount to One Recipient,0.001565778342151892,-0.0004100718325386891,0.004109324151175086,-0.06445132744970158,0.016632965941677947
user_avg_amount_7d,User Average Amount (7 Days),0.0015187209439940501,0.00035128072858526226,0.0040984528849881165,-0.010998457610588241,0.05594168234583933
user_unique_types_7d,User Unique Types (7 Days),0.0014995291763090898,0.00014428093201986642,0.004919286409139992,-0.04611416234827208,0.07611524576083192
user_min_balance_7d,User Minimum Balance (7 Days),0.0014959191061886528,0.00048566598981796395,0.0036088156986793588,-0.040077084770725406,0.027757032514938506
user_max_balance_7d,User Maximum Balance (7 Days),0.001420548654780693,0.0002944289354991098,0.0034854841075422954,-0.03170209243414984,0.041192324627766154
user_avg_start_balance_7d,User Average Starting Balance,0.0014062226647372012,-0.0005281475290144594,0.0042796285416491445,-0.06136840434613312,0.01902944035076294
user_unique_channels_3d,User Unique Channels (3 Days),0.001396394822907173,0.00021812135287820427,0.004600590904497363,-0.049892529769982666,0.06997576315546852
user_days_since_last_txn,Days Since User Last Transaction,0.0,0.0,0.0,0.0,0.0
