cutoff_date,fraud_flag,trx_channel,trx_type,start_balance,trx_amt,hour_of_day,is_weekend,txn_txns_3d,txn_total_amount_3d,txn_avg_amount_3d,txn_max_amount_3d,txn_min_amount_3d,txn_unique_types_3d,txn_multi_channel_recent,txn_amount_deviation_from_avg,trx_channel_idx,trx_type_idx,features,rawPrediction,probability,prediction,fraud_probability
2025-07-01,0,NEW_JC_APP,Transfer(C2C),0.29,1527.0,14,0,11,36136.0,3285.090909090909,9000.0,344.0,3,0,-0.5351726809829532,0.0,0.0,"[0.29,1527.0,14.0,0.0,11.0,36136.0,3285.090909090909,9000.0,344.0,3.0,0.0,-0.5351726809829532,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),0.0,300.0,6,0,6,8900.0,1483.3333333333333,6000.0,350.0,2,0,-0.797752808988764,0.0,0.0,"[0.0,300.0,6.0,0.0,6.0,8900.0,1483.3333333333333,6000.0,350.0,2.0,0.0,-0.797752808988764,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),369.14,5000.0,9,0,4,23200.0,5800.0,12800.0,2000.0,3,1,-0.13793103448275862,0.0,0.0,"[369.14,5000.0,9.0,0.0,4.0,23200.0,5800.0,12800.0,2000.0,3.0,1.0,-0.13793103448275862,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),179.14,10000.0,12,0,4,23200.0,5800.0,12800.0,2000.0,3,1,0.7241379310344828,0.0,0.0,"[179.14,10000.0,12.0,0.0,4.0,23200.0,5800.0,12800.0,2000.0,3.0,1.0,0.7241379310344828,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),2878.94,3300.0,10,0,4,41900.0,10475.0,30000.0,200.0,3,0,-0.684964200477327,0.0,0.0,"[2878.94,3300.0,10.0,0.0,4.0,41900.0,10475.0,30000.0,200.0,3.0,0.0,-0.684964200477327,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),107.53,1000.0,11,0,2,6400.0,3200.0,6000.0,400.0,1,0,-0.6875,0.0,0.0,"[107.53,1000.0,11.0,0.0,2.0,6400.0,3200.0,6000.0,400.0,1.0,0.0,-0.6875,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),14278.52,2830.0,11,0,2,6400.0,3200.0,6000.0,400.0,1,0,-0.115625,0.0,0.0,"[14278.52,2830.0,11.0,0.0,2.0,6400.0,3200.0,6000.0,400.0,1.0,0.0,-0.115625,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),23761.01,33750.0,12,0,10,350150.0,35015.0,50000.0,650.0,3,1,-0.0361273739825789,0.0,0.0,"[23761.01,33750.0,12.0,0.0,10.0,350150.0,35015.0,50000.0,650.0,3.0,1.0,-0.0361273739825789,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),968.2,800.0,9,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,"(14,[0,1,2],[968.2,800.0,9.0])","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),103173.99,6740.0,16,0,10,282222.0,28222.2,54323.0,900.0,3,0,-0.7611809143156806,0.0,0.0,"[103173.99,6740.0,16.0,0.0,10.0,282222.0,28222.2,54323.0,900.0,3.0,0.0,-0.7611809143156806,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),41.54,20.0,19,0,1,1500.0,1500.0,1500.0,1500.0,1,0,-0.9866666666666667,0.0,0.0,"[41.54,20.0,19.0,0.0,1.0,1500.0,1500.0,1500.0,1500.0,1.0,0.0,-0.9866666666666667,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),22774.95,620.0,17,0,4,9520.0,2380.0,6000.0,1000.0,2,0,-0.7394957983193278,0.0,0.0,"[22774.95,620.0,17.0,0.0,4.0,9520.0,2380.0,6000.0,1000.0,2.0,0.0,-0.7394957983193278,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),437.23,300.0,18,0,4,9520.0,2380.0,6000.0,1000.0,2,0,-0.8739495798319328,0.0,0.0,"[437.23,300.0,18.0,0.0,4.0,9520.0,2380.0,6000.0,1000.0,2.0,0.0,-0.8739495798319328,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),13361.98,7600.0,16,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,"(14,[0,1,2],[13361.98,7600.0,16.0])","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),12973.9,50000.0,17,0,5,135466.0,27093.2,50000.0,300.0,3,0,0.8454815230389913,0.0,0.0,"[12973.9,50000.0,17.0,0.0,5.0,135466.0,27093.2,50000.0,300.0,3.0,0.0,0.8454815230389913,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),0.19,1.0,3,0,32,14196.0,443.625,4725.0,70.0,6,1,-0.99774584389969,0.0,0.0,"[0.19,1.0,3.0,0.0,32.0,14196.0,443.625,4725.0,70.0,6.0,1.0,-0.99774584389969,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),40.59,3200.0,19,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,"(14,[0,1,2],[40.59,3200.0,19.0])","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),3.67,510.0,19,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,"(14,[0,1,2],[3.67,510.0,19.0])","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),153339.23,3000.0,8,0,9,37530.0,4170.0,10000.0,1000.0,2,0,-0.2805755395683453,0.0,0.0,"[153339.23,3000.0,8.0,0.0,9.0,37530.0,4170.0,10000.0,1000.0,2.0,0.0,-0.2805755395683453,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),63.01,450.0,11,0,9,37530.0,4170.0,10000.0,1000.0,2,0,-0.8920863309352518,0.0,0.0,"[63.01,450.0,11.0,0.0,9.0,37530.0,4170.0,10000.0,1000.0,2.0,0.0,-0.8920863309352518,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),17416.22,11000.0,19,0,3,900.0,300.0,500.0,100.0,2,0,35.666666666666664,0.0,0.0,"[17416.22,11000.0,19.0,0.0,3.0,900.0,300.0,500.0,100.0,2.0,0.0,35.666666666666664,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),0.0,5000.0,17,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,"(14,[1,2],[5000.0,17.0])","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),39.62,7000.0,20,0,3,53700.0,17900.0,35200.0,8500.0,1,0,-0.6089385474860335,0.0,0.0,"[39.62,7000.0,20.0,0.0,3.0,53700.0,17900.0,35200.0,8500.0,1.0,0.0,-0.6089385474860335,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),115559.46,9500.0,8,0,5,21000.0,4200.0,16800.0,600.0,4,1,1.2619047619047619,0.0,0.0,"[115559.46,9500.0,8.0,0.0,5.0,21000.0,4200.0,16800.0,600.0,4.0,1.0,1.2619047619047619,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),75.76,10000.0,13,0,5,21000.0,4200.0,16800.0,600.0,4,1,1.380952380952381,0.0,0.0,"[75.76,10000.0,13.0,0.0,5.0,21000.0,4200.0,16800.0,600.0,4.0,1.0,1.380952380952381,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),2048.29,3000.0,11,0,2,12.0,6.0,6.0,6.0,1,0,499.0,0.0,0.0,"[2048.29,3000.0,11.0,0.0,2.0,12.0,6.0,6.0,6.0,1.0,0.0,499.0,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),0.75,5900.0,18,0,2,23500.0,11750.0,20000.0,3500.0,1,0,-0.4978723404255319,0.0,0.0,"[0.75,5900.0,18.0,0.0,2.0,23500.0,11750.0,20000.0,3500.0,1.0,0.0,-0.4978723404255319,0.0,0.0]","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
2025-07-01,0,NEW_JC_APP,Transfer(C2C),2.42,400.0,6,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,"(14,[0,1,2],[2.42,400.0,6.0])","[-2.046998429512084,2.046998429512084]","[0.11435602480322814,0.8856439751967718]",1.0,0.8856439751967718
