mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
55.68050209681193,2.9592191079125594,3.077373822530111,0.328585928300105,0.749816047538945,0.4753571532049581,0.22227824312530747,7,5,152,0.44583275285359114,0.6499623737270044,0.7836995567863468,"{'colsample_bytree': 0.749816047538945, 'gamma': 0.4753571532049581, 'learning_rate': 0.22227824312530747, 'max_depth': 7, 'min_child_weight': 5, 'n_estimators': 152, 'reg_alpha': 0.44583275285359114, 'reg_lambda': 0.6499623737270044, 'subsample': 0.7836995567863468}",0.6619296893052504,0.6205106212767224,0.72471704846267,0.6690524530148809,0.042839196917951,17
50.01536822319031,1.7168198536591526,2.4649605751037598,0.18501298320419132,0.7334834444556088,0.07143340896097039,0.19875765715516733,7,2,137,0.8324426408004217,0.8185086660174142,0.6727299868828402,"{'colsample_bytree': 0.7334834444556088, 'gamma': 0.07143340896097039, 'learning_rate': 0.19875765715516733, 'max_depth': 7, 'min_child_weight': 2, 'n_estimators': 137, 'reg_alpha': 0.8324426408004217, 'reg_lambda': 0.8185086660174142, 'subsample': 0.6727299868828402}",0.7207833906934347,0.6842220249831374,0.7354489070483612,0.7134847742416444,0.021540670263694873,16
35.51192339261373,3.9139807831519478,1.9723857243855794,0.137350295827869,0.6733618039413735,0.15212112147976886,0.16217936517334897,6,1,98,0.5247746602583891,1.0997914575728833,0.6186662652854461,"{'colsample_bytree': 0.6733618039413735, 'gamma': 0.15212112147976886, 'learning_rate': 0.16217936517334897, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 98, 'reg_alpha': 0.5247746602583891, 'reg_lambda': 1.0997914575728833, 'subsample': 0.6186662652854461}",0.8408725993879829,0.7619825143472237,0.806719384752806,0.8031914994960042,0.03230320789254447,10
48.0176146030426,0.9534153581565519,3.356297731399536,0.1827799343302137,0.9895022075365837,0.11638567021515211,0.03627586601451803,8,3,157,0.5142344384136116,1.3886218532930636,0.6185801650879991,"{'colsample_bytree': 0.9895022075365837, 'gamma': 0.11638567021515211, 'learning_rate': 0.03627586601451803, 'max_depth': 8, 'min_child_weight': 3, 'n_estimators': 157, 'reg_alpha': 0.5142344384136116, 'reg_lambda': 1.3886218532930636, 'subsample': 0.6185801650879991}",0.8558561711958471,0.8193580923573214,0.7972954879389926,0.8241699171640539,0.024148204203148286,4
38.11539912223816,1.4676133138619547,2.0336291790008545,0.07434743038288841,0.8430179407605753,0.08526206184364576,0.02886496196573106,6,1,109,0.5632882178455393,1.0781247538098742,0.6063865008880857,"{'colsample_bytree': 0.8430179407605753, 'gamma': 0.08526206184364576, 'learning_rate': 0.02886496196573106, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 109, 'reg_alpha': 0.5632882178455393, 'reg_lambda': 1.0781247538098742, 'subsample': 0.6063865008880857}",0.867067665483472,0.8212949105837486,0.8070525985128475,0.831805058193356,0.02560337826607965,2
23.716819445292156,1.620130895220282,1.231195370356242,0.033218845391780126,0.6923575302488596,0.12051273301300586,0.2081464204593829,6,5,57,0.034388521115218396,1.8639806031181732,0.7035119926400067,"{'colsample_bytree': 0.6923575302488596, 'gamma': 0.12051273301300586, 'learning_rate': 0.2081464204593829, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 57, 'reg_alpha': 0.034388521115218396, 'reg_lambda': 1.8639806031181732, 'subsample': 0.7035119926400067}",0.8491567609215144,0.7761826186775815,0.7518373741751806,0.7923922512580922,0.0413507750871894,13
29.796477635701496,5.869477655044935,1.6066959698994954,0.45919961882242943,0.8650089137415928,0.15585553804470548,0.16081972614156514,4,4,103,0.03131329245555858,1.7634271618924977,0.7799016533479063,"{'colsample_bytree': 0.8650089137415928, 'gamma': 0.15585553804470548, 'learning_rate': 0.16081972614156514, 'max_depth': 4, 'min_child_weight': 4, 'n_estimators': 103, 'reg_alpha': 0.03131329245555858, 'reg_lambda': 1.7634271618924977, 'subsample': 0.7799016533479063}",0.8614503407413167,0.8117394927596219,0.7970202320110972,0.8234033551706785,0.027566211110766528,5
94.51145037015279,6.188472674248083,7.382897694905599,2.1676910938098994,0.7580600944007257,0.4633294328968971,0.22090887879836205,9,6,264,0.5208342600258237,1.9417580365240237,0.9378135394712606,"{'colsample_bytree': 0.7580600944007257, 'gamma': 0.4633294328968971, 'learning_rate': 0.22090887879836205, 'max_depth': 9, 'min_child_weight': 6, 'n_estimators': 264, 'reg_alpha': 0.5208342600258237, 'reg_lambda': 1.9417580365240237, 'subsample': 0.9378135394712606}",0.6386124662300051,0.5914950002771425,0.6726627147168419,0.6342567270746632,0.033279411198048364,19
44.273650328318276,3.5123323077533737,1.8359944820404053,0.1376684350647134,0.8989280440549523,0.2698460661945399,0.18015783804251598,3,4,237,0.5426960831582485,0.711386337462144,0.9208787923016158,"{'colsample_bytree': 0.8989280440549523, 'gamma': 0.2698460661945399, 'learning_rate': 0.18015783804251598, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 237, 'reg_alpha': 0.5426960831582485, 'reg_lambda': 0.711386337462144, 'subsample': 0.9208787923016158}",0.8501792188228474,0.7787026359252038,0.7857297486404424,0.8048705344628312,0.032166263248988566,8
102.44354836146037,4.649416512736403,5.505939801534017,0.9159498804146218,0.6298202574719083,0.49344346830025865,0.23395098309603066,6,3,292,0.7068573438476171,1.5935107520614809,0.9085081386743783,"{'colsample_bytree': 0.6298202574719083, 'gamma': 0.49344346830025865, 'learning_rate': 0.23395098309603066, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 292, 'reg_alpha': 0.7068573438476171, 'reg_lambda': 1.5935107520614809, 'subsample': 0.9085081386743783}",0.622055990705288,0.5829054121013136,0.635725219408041,0.6135622074048809,0.022384388563545205,20
